문장,label
경기장으로 뛰어 들어와 스프링보드를 밟고 뛰어올라 단상으로 올라간다 바로 그 피라미드의 꼭대기로 말이야!,대화형-긍정-현재-확실
그가 깃발을 휘날릴 때 대단원의 막이 내리는 거다,사실형-긍정-과거-확실
그 주인공을 누가 하지?,대화형-긍정-현재-확실
귀가 커다란 아기 코끼리!,사실형-긍정-현재-확실
세상에서 가장 귀여운 코끼리,사실형-긍정-현재-확실
그건 바로 바로 덤보!,사실형-긍정-현재-확실
덤보!,사실형-긍정-현재-확실
덤보!,사실형-긍정-현재-확실
덤보! 덤보!,사실형-긍정-현재-확실
덤보!,사실형-긍정-현재-확실
신사 숙녀 여러분! 이제부터 여러분께 보여드릴 공연은 지금까지는 볼 수 없었던,사실형-부정-미래-확실
감동의 드라마! 이 작고 보잘 것 없는 공 위에 피라미드를 만들어 보이겠습니다,대화형-긍정-현재-확실
아닙니다 정말로 할 생각일까?,대화형-부정-현재-확실
과장이 너무 심해,추론형-긍정-현재-확실
지상 최대의 덩치를 자랑하는,사실형-긍정-현재-확실
거대한 몸매의 아가씨들!,사실형-긍정-현재-확실
코끼리를 소개합니다,대화형-긍정-현재-확실
난 이런 거 소질 없어,대화형-부정-현재-확실
너 살이 좀 찐 거 같다,추론형-긍정-현재-불확실
너도 만만치 않아,추론형-부정-현재-확실
모두 입 다물어,대화형-긍정-현재-확실
자기 할 일이나 잘 해!,대화형-긍정-현재-확실
내 눈에서 발 치워 둔하기는...,대화형-긍정-현재-확실
조심해!,대화형-긍정-현재-확실
정말 아슬아슬해서 못 봐주겠다,추론형-부정-현재-확실
이제 거의 다 됐어,대화형-긍정-과거-확실
깃발 흔드는 거 잊지마,대화형-부정-현재-확실
"좋아, 그만 흔들어 충분히 봤어",대화형-긍정-과거-확실
이젠 뛰어 나가서 스프링보드에서 뛰기만 하면 돼,추론형-긍정-현재-확실
어디 한번 해봐,대화형-긍정-현재-확실
"그렇지, 잘했어 그렇게만 하면 돼",대화형-긍정-과거-확실
덤보!,사실형-긍정-현재-확실
귀가 문제로군,대화형-긍정-현재-확실
신사 숙녀 여러분! 상상을 초월하는 쇼가 눈앞에 벌어졌습니다,대화형-긍정-과거-확실
코끼리가 피라미드를 쌓은 것입니다,대화형-긍정-현재-확실
저 수다쟁이!,대화형-긍정-현재-확실
본론으로 들어가지 않고...,사실형-부정-현재-확실
이제 세상에서 가장 작은 코끼리가 나와서,사실형-긍정-현재-확실
이 스프링보드를 딛고 피라미드의 꼭대기로 올라가 작은 깃발을 흔들면서,사실형-긍정-현재-확실
대단원의 막을 내리겠습니다 신사 숙녀 여러분!,대화형-미정-미래-확실
덤보를 소개합니다!,대화형-긍정-현재-확실
어서 나가,추론형-긍정-현재-확실
"왜 그래, 덤보?",대화형-긍정-현재-확실
사인이 떨어졌잖아 어서 나가야지,대화형-긍정-과거-확실
저리 비켜 이 사고 뭉치야,대화형-긍정-현재-확실
오래 살다보니 별일이 다 생기는 군,사실형-긍정-현재-확실
이젠 창피해서 얼굴도 못 들고 다니겠어,대화형-부정-현재-확실
아름답던 내 꼬리가 이 모양이 됐어,대화형-긍정-과거-확실
눈에서 별이 보이게 실컷 때려주고 싶어,사실형-긍정-현재-확실
그럴 필요 없어,대화형-부정-현재-확실
이미 톡톡히 당했으니까,추론형-긍정-과거-확실
- 어떻게 했는데?,대화형-긍정-과거-확실
때려준 거예요?,대화형-긍정-과거-확실
대체 어떻게 됐는데?,대화형-긍정-과거-확실
어떻게 했냐면 말이야 차마 말을 못하겠어 빨리 털어놔,대화형-긍정-현재-확실
그 애를 광대로 만들었대,대화형-긍정-과거-확실
광대?,대화형-긍정-현재-확실
사실이래!,대화형-긍정-현재-확실
우리 종족의 수치로다,사실형-긍정-현재-확실
우리 모두 맹세를 하도록 하자,대화형-긍정-현재-확실
이제부터 덤보를 코끼리 가문에서 추방한다,사실형-긍정-현재-확실
"도와줘요, 소방관 아저씨 우리 아기를 구해줘요!",대화형-긍정-현재-확실
우리 아이를 구해줘요!,대화형-긍정-현재-확실
내 아이를 구해줘요!,대화형-긍정-현재-확실
어서 뛰어! 우리가 받아 줄게,대화형-긍정-현재-확실
어서!,대화형-긍정-현재-확실
우리가 받는다니까 어서 뛰어!,대화형-긍정-현재-확실
우리가 받아 줄게,대화형-긍정-현재-확실
어서 뛰어!,대화형-긍정-현재-확실
다들 배꼽을 잡고 웃었어,대화형-긍정-과거-확실
정말 재미 있었나봐,대화형-긍정-과거-불확실
13번이나 나와서 인사했잖아,대화형-긍정-과거-확실
모두 우리한테 넘어갔어,대화형-긍정-과거-확실
- 우스워서 어쩔 줄을 모르더라구,대화형-긍정-과거-확실
- 누가 아니래!,대화형-부정-현재-확실
땅 바닥을 때굴때굴 구르더라구,대화형-긍정-과거-확실
- 연기 하난 잘 하잖아,대화형-긍정-현재-확실
- 연기하면 우리잖아,대화형-긍정-현재-확실
위대하다고 밖엔 표현할 길이 없어,사실형-부정-현재-확실
이젠 광대를 우습게 보지 못하겠지,대화형-부정-현재-확실
말 한번 잘 했다,사실형-긍정-과거-확실
오늘 같은 날 축배를 안들 수 있나,대화형-부정-미래-불확실
어서 마시자,대화형-긍정-현재-확실
"아, 목마르다",추론형-긍정-현재-확실
나도 한잔해야지,추론형-긍정-미래-확실
"덤보를 위해 건배! 그래, 덤보!",사실형-긍정-현재-확실
덤보를 위해!,대화형-긍정-현재-확실
널 위해 건배를 하고 있어,대화형-긍정-현재-확실
"그래, 넌 성공을 한 거야!",대화형-긍정-과거-확실
넌 정말 멋졌어,대화형-긍정-과거-확실
"아니, 굉장히 근사했어",대화형-긍정-과거-확실
"이리와, 귀 뒤를 씻어 줄게",대화형-긍정-현재-확실
기분 좋을 거야,추론형-긍정-현재-확실
성공했으니까,추론형-긍정-과거-확실
"이것 봐, 땅콩이야",대화형-긍정-현재-확실
어서 먹어 비타민이 많이 들었어,대화형-긍정-과거-확실
이걸 먹으면... 기운이 날 거야,대화형-긍정-미래-확실
"아참, 깜빡 잊었네 너의 엄마를 만나러 가자",대화형-긍정-현재-확실
내가 약속을 해놨어,대화형-긍정-과거-확실
내가 말 안 했던가?,대화형-미정-과거-확실
내가 이렇다니까,대화형-긍정-현재-확실
또 깜빡 한 거야 어서 모자를 써,대화형-긍정-과거-확실
바로 저기야,대화형-긍정-현재-확실
소박하고 편하게 생겼지?,대화형-긍정-과거-불확실
점보 아줌마!,사실형-긍정-현재-확실
방에 계셔야 할텐데,대화형-긍정-현재-확실
손님이 왔는데요,대화형-긍정-과거-확실
울지 말아요 우리 아기,대화형-부정-현재-확실
눈물을 닦아요 우리 아기,대화형-긍정-현재-확실
내 가슴에 포근히 안겨요,대화형-긍정-현재-확실
다시는 헤어지지 말아요 우리 아기,대화형-부정-현재-확실
밖에 나가 놀 때,사실형-긍정-현재-확실
다른 애들이 놀려도 신경 쓰지 말아요,대화형-부정-현재-확실
초롱 초롱한 눈망울에,사실형-긍정-현재-확실
눈물 맺히게 하지 말아요,대화형-부정-현재-확실
머리끝부터 발끝까지,사실형-긍정-현재-확실
예쁘지 않은 곳이 없어요 하느님은 아실 거예요,대화형-긍정-현재-확실
아기란 얼마나 소중한 존재인지,대화형-긍정-현재-확실
말할 수 없이 귀여워요,대화형-긍정-현재-확실
우리 아기 우리 아기,사실형-긍정-현재-확실
여기다 부어봐 내가 다 마셔 버릴 거야,대화형-긍정-미래-확실
관중의 웃음소리가 지금도 들리는 것 같아,사실형-긍정-현재-확실
대도시에 가면 더 굉장할 걸,추론형-긍정-현재-불확실
이러면 어떨까?,대화형-긍정-현재-불확실
코끼리가 뛰어 내리는 난간을 높게 하는 거야,대화형-긍정-현재-확실
6미터에서 뛰어내릴 때도 재밌었는데 12미터에서 뛰어 내리면 얼마나 더 재밌겠어!,대화형-긍정-과거-확실
"그래, 맞는 말이야",대화형-긍정-현재-확실
간단한 수학이잖아,대화형-긍정-현재-확실
아예 50미터로하면 어떨까?,대화형-긍정-현재-불확실
그 정도로 되겠냐?,대화형-긍정-현재-확실
100미터로 하자!,대화형-긍정-현재-확실
200미터!,사실형-긍정-현재-확실
1000미터!,사실형-긍정-현재-확실
"그래, 그게 좋겠다!",추론형-긍정-현재-확실
그러다 다치면 어떡해!,대화형-긍정-현재-확실
코끼리는 감정이 없어,사실형-부정-현재-확실
피부가 고무 같대!,대화형-긍정-현재-확실
정말 좋은 생각이다!,추론형-긍정-현재-확실
가서 단장님께 말씀 드리자,대화형-긍정-과거-확실
그래!,사실형-긍정-현재-확실
월급도 올려 달래자!,대화형-긍정-현재-확실
"그래, 우린 올려줘도 돼!",대화형-긍정-현재-확실
월급을 올려 달래자,대화형-긍정-현재-확실
"그래, 월급을 올려 달래자",대화형-긍정-현재-확실
우린 더 받아도 돼 우리가 얼마나 웃기는데,대화형-긍정-현재-확실
당장 가서 월급을 올려 달래자!,대화형-긍정-현재-확실
"어떤 기분인지 알아, 덤보",추론형-긍정-현재-확실
하지만 참아야 해,추론형-긍정-현재-확실
네가 울면 엄마 마음이 어떠시겠니?,대화형-긍정-현재-확실
넌 고귀한 집안 출신이야,대화형-긍정-현재-확실
넌...,대화형-긍정-현재-확실
코끼리잖아,대화형-긍정-현재-확실
코끼리는 울지 않는 거야,대화형-부정-현재-확실
울어서 좋을 게 어딨어?,추론형-긍정-미래-확실
하나도 없잖아 딸꾹질만 나지,대화형-부정-현재-확실
그거 봐라,대화형-긍정-현재-확실
물을 마시면 나을 거야,추론형-긍정-미래-확실
한 번만 쭉 들이켜,사실형-긍정-현재-확실
그럼 감쪽같이 나을 거야,추론형-긍정-현재-확실
한번에 쭉 들이켜,사실형-긍정-현재-확실
내 말 좀 들어봐 지금 까진 일이 잘 안 풀렸지만 우리가 힘을 합치면 큰 일을 할 수 있어,대화형-긍정-미래-확실
숨을 참아봐,대화형-긍정-현재-확실
그럼 엄마도 기뻐하실 거고,추론형-긍정-미래-불확실
나도 무척 기쁠 거야,추론형-긍정-미래-확실
서커스 단원 전부 자랑스러워 할 거야,추론형-긍정-미래-확실
그렇게 되면 좋겠지?,대화형-긍정-미래-확실
한 번에 삼켜,사실형-긍정-현재-확실
이젠 됐을 거야,추론형-긍정-과거-불확실
아직 덜 나았네,대화형-긍정-과거-확실
"덤보, 우리가 열심히 노력하면",대화형-긍정-현재-확실
너 왜 그래?,대화형-긍정-현재-확실
이게 무슨 물인데 그러지?,대화형-긍정-현재-확실
도대체 내가 왜 이러지?,대화형-긍정-현재-확실
"안녕, 조지!",대화형-긍정-현재-확실
별걸 다 부네,대화형-긍정-현재-확실
이번엔 네모를 불어봐,대화형-긍정-현재-확실
"이런, 이거야말로... 진짜 재주네!",대화형-긍정-현재-확실
이번엔 아주 큰 걸 불어봐,대화형-긍정-현재-확실
아니 저건...,대화형-긍정-현재-확실
덤보!,사실형-긍정-현재-확실
너도 저게 보이니?,대화형-긍정-현재-확실
"비켜, 비켜 분홍 코끼리 행차시다",대화형-긍정-현재-확실
여기서도 나오고 저기서도 나온다,사실형-긍정-현재-확실
"비켜, 비켜",사실형-긍정-현재-확실
침대 주위를 맴돈다,사실형-긍정-현재-확실
머리맡을 맴돈다 빰빠라 빰빠라,사실형-긍정-현재-확실
곱게 차려입은 분홍 코끼리의 행차시다,대화형-긍정-현재-확실
난 어떡하지?,대화형-긍정-현재-확실
이런 건 난생 처음이야,대화형-긍정-현재-확실
이상한 벌레도 많이 봤고 현미경으로 세균도 봤지만,추론형-긍정-과거-확실
이렇게 알록달록한 코끼리는 평생 본 적이 없어,사실형-부정-현재-확실
아무리 이상한 일을 겪어도 신기한 것을 봐도 눈 하나 깜짝하지 않았지만,추론형-긍정-과거-불확실
이런 광경은 처음이야 기분이 이상해져!,대화형-긍정-현재-확실
"이런 건 처음이야 쫓아 버려, 쫓아 버려!",대화형-긍정-현재-확실
난 너무 무서워 나와 같이 있어 줘,대화형-긍정-현재-확실
분홍 코끼리가 행진을 한다네,대화형-긍정-현재-확실
분홍 코끼리가... 분홍 코끼리가... 분홍 코끼리가...,대화형-긍정-현재-확실
저것 좀 봐,대화형-긍정-현재-확실
세상에!,대화형-긍정-현재-확실
세상에 살다 살다 별일을 다 보는군,대화형-긍정-과거-확실
내 눈을 믿을 수가 없어,추론형-부정-현재-확실
죽은 건 아니지?,대화형-부정-현재-불확실
죽었으면 어떻게 코를 골겠어?,대화형-긍정-현재-확실
아닌가?,대화형-긍정-현재-확실
왜들 모여 있어?,대화형-긍정-현재-확실
저리 좀 비켜봐,대화형-긍정-현재-확실
무근 꿍꿍이야?,대화형-긍정-현재-확실
무슨 일 있어?,대화형-긍정-현재-확실
재미있는 일이야?,대화형-긍정-현재-확실
저것 좀 봐,대화형-긍정-현재-확실
보고 너무 놀라지나 마,대화형-부정-현재-확실
"이런, 세상에!",대화형-긍정-현재-확실
어서 깨워봐,대화형-긍정-현재-확실
"그래, 이 위에 무슨 일로 왔냐고 물어봐",대화형-긍정-현재-확실
"그래, 원하는 게 뭐냐고 물어봐",대화형-긍정-현재-확실
"좋아, 나한테 맡겨",추론형-긍정-현재-확실
분홍 코끼리야!,대화형-긍정-현재-확실
분홍 코끼리?,대화형-긍정-현재-확실
뭐가 그리 우스워?,대화형-긍정-현재-확실
너희들이 땅에 웬일이야?,대화형-긍정-현재-확실
우리가 땅에 웬일이냐고?,대화형-긍정-현재-확실
생쥐 친구 말하는 것 좀 보게,대화형-긍정-현재-확실
나무 위에나 올라가 있어,사실형-긍정-현재-확실
"이것 봐, 생쥐 친구",추론형-긍정-현재-확실
생쥐 친구!,사실형-긍정-현재-확실
"이봐, 난 네 친구가 아니야 생쥐는 더욱 아니고",대화형-부정-현재-확실
그럼 자네랑 코끼리도 나무 위에 있는 게 아니겠네,대화형-부정-현재-확실
내가 나무 위에 왜 올라가겠어,대화형-긍정-현재-확실
나무?,사실형-긍정-현재-확실
덤보! 덤보!,사실형-긍정-현재-확실
"일어나, 덤보!",대화형-긍정-현재-확실
내려다보지마 그런데 우리가 나무 위에 있는 것 같아,대화형-긍정-현재-불확실
까마귀한테는 신경 쓸 필요 없어,대화형-부정-현재-확실
"이리와, 덤보",사실형-긍정-현재-확실
서커스단으로 돌아가야지,추론형-긍정-미래-확실
잘 들 가봐,대화형-긍정-현재-확실
그런데 나무 위엔 어떻게 올라 간 거지?,대화형-긍정-과거-확실
어디 보자,대화형-긍정-현재-확실
"코끼리는 나무에 올라가지 못해, 그렇지?",대화형-부정-현재-확실
말도 안되지,사실형-부정-현재-확실
뛰어 올랐을 리도 없고,추론형-부정-과거-불확실
너무 높잖아,대화형-긍정-현재-확실
날아 올랐나보지,대화형-미정-과거-불확실
날아올랐나 봐,대화형-긍정-과거-불확실
"덤보, 네가 난 거야!",대화형-긍정-현재-확실
내가 바보였어,대화형-긍정-과거-확실
왜 그런 생각을 못했지?,대화형-부정-과거-확실
"네 귀를 좀 봐, 덤보!",대화형-긍정-현재-확실
웬만한 날개보다도 크잖아,대화형-긍정-현재-확실
옛날엔 애물 단지였지만 이젠 보물 단지가 될 거야,대화형-긍정-미래-불확실
이제야 확실히 알겠어,추론형-긍정-현재-확실
